"geneid"	"sample1"	"sample2"	"sample3"	"sample4"	"sample5"	"sample6"
"326"	100302276	0	0	0	2	0	0
"327"	126917	2015	500	2280	4532	1778	2646
"328"	23352	6209	1500	10010	27453	17333	15670
"329"	23065	2255	373	3408	6167	4906	5017
"330"	51154	1593	600	1136	2315	2042	2235
"331"	246181	95	36	70	148	156	336
"332"	22977	60	68	62	62	69	118
"333"	100506730	753	303	399	1124	939	1418
"334"	8574	1083	526	791	794	1049	907
"335"	54896	811	229	913	1036	1165	1132
"336"	832	8240	1811	6556	9628	7211	8926
"337"	644075	39	9	107	274	237	220
"338"	644083	0	0	0	1	2	1
"339"	440574	2501	1012	2257	3545	1428	2458
"340"	4681	13075	5269	12674	8637	3564	4448
"341"	3362	194	6	449	72	18	22
"342"	255104	151	109	141	29	27	39
"343"	54546	0	0	0	0	0	0
"344"	23252	1992	417	2773	4809	4967	5361
"345"	30814	0	0	0	0	0	1
"346"	5320	0	0	0	0	0	0
"347"	5322	345	548	289	3	0	9
"348"	26279	1	0	2	0	0	0
"349"	64600	0	0	0	0	0	0
"350"	391013	2	0	1	1	0	0
"351"	127733	426	57	881	464	68	322
"352"	127731	4	2	17	7	88	113
"353"	339505	109	10	88	31	47	49
"354"	55450	51069	15024	45689	27235	13051	21418
"355"	79594	1725	469	1879	2401	1916	2383
"356"	163933	1222	208	1915	428	144	330
"357"	978	37	45	38	18	14	6
"358"	65018	25327	6884	29972	12532	6856	9023
"359"	1650	3184	1010	2996	5724	5706	5200
"360"	57576	1841	245	3174	465	91	371
"361"	400745	3622	463	8111	310	68	131
"362"	50809	10780	3165	7868	39666	33808	41713
"363"	8672	9385	1224	10645	19893	12580	14554
"364"	100302155	0	0	0	4	2	4
"365"	1889	2894	1774	3887	2744	2059	2052
"366"	100506824	4	0	2	6	0	0
"367"	100506801	3	0	5	27	19	28
"368"	84224	209	50	506	1583	737	1186
"369"	249	1521	767	1423	355	280	736
"370"	5909	15765	1875	20082	5604	5311	4525
"371"	84196	3034	558	2304	8108	6705	7353
"372"	401944	4	3	7	1	7	10
"373"	3339	353	183	737	1586	821	772
"374"	23436	0	0	0	0	0	0
"375"	10136	0	0	0	0	2	0
"376"	29092	341	92	443	889	548	581
"377"	998	9245	2097	5256	34444	20187	22739
"378"	54361	91	40	86	1583	1705	658
"379"	9923	1758	530	2541	7446	6314	6965
"380"	2046	87	8	124	136	1182	327
