Geneid	alignments
50999	3798
343099	361
100131564	810
1810	11041
54874	56943
8412	344
100129046	6
100126348	82
30836	4860
2730	949
100505924	0
24	107
9411	2430
100505940	0
5825	5805
2152	1521
126969	98
1266	10468
729970	544
199857	269
148534	1610
25950	1197
440594	0
58155	16915
1806	587
400765	1997
406928	42
51375	3469
163404	10402
100129620	323
9890	30968
54873	2596
391059	59
178	6909
730081	52
23443	1517
64645	6033
163786	1086
54482	2858
127495	217
1629	4361
100506007	160
8634	4031
693138	2
8556	124
54112	568
7412	845
2135	4135
148867	3696
51611	1775
100506051	269
100506029	380
1901	701
118427	3204
94236	248
1301	1764
55599	1371
280	1191
648740	1274
279	170
276	31
277	62
278	28
100129138	138
55170	1995
22854	255
10451	80
29957	1505
148545	2
100507044	0
400768	1
653149	0
284611	8911
113802	1883
55119	9208
163479	0
6814	1158
254268	144
642864	15
29899	874
23155	4038
22911	36181
6884	1072
56900	9470
677766	56
127003	143
57535	3861
6301	14136
1952	30161
84722	456
343263	76
6272	12727
5686	2161
284612	16
127002	1052
284613	3317
57463	2088
83873	324
2773	9284
406974	0
2780	14
271	9033
2948	301
2946	2047
2944	999
100506210	185
2949	289
2947	4628
79574	1
1435	322
10768	7572
85369	8782
257	274
164153	53
388662	11343
100130800	8
3749	2616
100506257	452
64783	1583
9122	620
10542	1563
84432	5
643160	0
3744	0
3737	482
3738	1874
963	73
100506293	65
55791	2845
128338	1182
10390	2150
79961	11
1117	0
149620	0
27159	0
128344	3
441897	0
5016	312
79084	2602
515	6389
128346	130
140	31
100129269	10
5906	2437
55924	565
100506343	170
11218	2173
3752	869
643355	271
55917	14027
100422976	0
7482	584
54879	1907
829	4525
4343	426
389	1695
333926	410
284467	4
128322	169
6566	5014
246182	285
100506392	326
9860	2322
260425	6338
10745	2557
54665	9509
26191	23
100287722	283
440603	360
10717	3452
64858	2493
204851	10287
56944	2096
148281	9085
51592	18584
10286	2165
163259	180
270	0
4893	12789
7812	61959
80143	6755
6847	0
7252	9
10100	4510
4803	60
100506434	5
81839	1142
845	28
4808	311
55356	1210
126868	3
476	27902
84852	113
100506459	11
965	102
3321	35713
100302117	0
914	0
5738	6108
9398	262
8458	342
100126331	0
80263	885
100506478	30
79679	53
10905	7342
54855	108
54834	2272
10885	3922
200162	192
6913	181
10352	604
51179	3
3284	0
3283	0
441900	8
128102	188
644242	535
90874	9207
26227	406
3158	0
83998	0
343505	6
11085	0
4853	3191
100506528	58
100132913	1313
653820	176
100132314	9
337875	78
2210	21
647121	125
100423008	0
375010	4
100422949	4
100132733	15
100422844	0
100130000	357
100286793	528
100287981	191
